country,created_at,total_tweets,total_unique_user_ids
United States of America,1,8344,5451
United States of America,2,7573,4932
United States of America,3,7475,4936
United States of America,4,7360,4906
United States of America,6,7300,4699
United States of America,8,6595,4428
United States of America,5,6520,4357
United States of America,17,5937,3881
United States of America,16,5827,3890
United States of America,15,5475,3638
United States of America,7,5363,3722
United States of America,9,5293,3647
United States of America,14,5227,3496
United States of America,24,5072,3452
United States of America,10,5068,3609
United States of America,22,4851,3236
United States of America,21,4705,3247
United States of America,23,4444,3082
United States of America,20,4396,2979
United States of America,29,4373,2995
United States of America,18,4339,3050
United States of America,19,4176,2927
United States of America,11,4153,2985
United States of America,28,4013,2781
United States of America,27,3833,2638
United States of America,25,3753,2676
United States of America,30,3657,2557
United States of America,26,3277,2330
United States of America,12,2849,2016
United Kingdom,6,2776,2013
United Kingdom,16,2494,1752
United States of America,13,2406,1688
United Kingdom,1,2363,1739
United Kingdom,5,2344,1639
United Kingdom,8,2240,1649
United Kingdom,2,2174,1594
United Kingdom,17,2046,1521
United Kingdom,4,1940,1444
United Kingdom,3,1920,1421
United Kingdom,9,1878,1424
United Kingdom,24,1703,1284
United Kingdom,18,1699,1230
United Kingdom,10,1691,1242
United Kingdom,14,1688,1254
United Kingdom,11,1601,1135
United Kingdom,15,1598,1174
United Kingdom,7,1585,1198
United Kingdom,19,1559,1170
United Kingdom,23,1506,1144
United Kingdom,22,1480,1087
United Kingdom,29,1466,1129
United Kingdom,27,1439,1072
United Kingdom,21,1418,1037
United Kingdom,25,1393,1036
United Kingdom,30,1383,1031
United Kingdom,28,1345,1066
United Kingdom,20,1322,991
United Kingdom,26,1291,1008
United Kingdom,12,1108,857
United Kingdom,13,731,543
India,5,4067,2120
India,16,2814,1416
India,6,2555,1352
India,7,2531,1360
India,17,2525,1298
India,18,2471,1302
India,4,2370,1243
India,9,2249,1246
India,14,2230,1203
India,26,2202,1085
India,10,2177,1177
India,19,2168,1127
India,24,2140,1117
India,3,2096,1161
India,25,2085,1048
India,15,2035,1114
India,27,2034,1001
India,1,2022,1102
India,8,2017,1104
India,2,1954,1096
India,22,1851,988
India,11,1829,985
India,23,1748,932
India,28,1730,920
India,20,1680,883
India,21,1672,915
India,29,1585,789
India,13,1558,859
India,12,1527,854
India,30,1523,811
Spain,26,1240,907
Spain,6,1236,914
Spain,2,1202,824
Spain,16,1144,844
Spain,8,1140,818
Spain,17,1108,790
Spain,4,1073,808
Spain,1,1052,777
Spain,15,1032,739
Spain,3,1017,744
Spain,18,1003,749
Spain,19,967,717
Spain,9,961,725
Spain,7,953,654
Spain,24,927,689
Spain,14,910,694
Spain,5,881,688
Spain,25,874,625
Spain,27,863,645
Spain,21,846,633
Spain,23,826,627
Spain,10,817,609
Spain,22,774,573
Spain,30,769,589
Spain,20,763,566
Spain,28,741,568
Spain,29,711,561
Spain,11,706,529
Spain,12,694,490
Spain,13,540,370
Canada,3,1099,741
Canada,1,1058,744
Canada,4,1015,749
Canada,2,1000,729
Canada,6,938,692
Canada,8,889,654
Canada,5,873,626
Canada,16,826,578
Canada,17,801,603
Canada,9,762,553
Canada,15,752,546
Canada,10,681,492
Canada,18,677,484
Canada,14,673,509
Canada,24,660,498
Canada,22,645,480
Canada,23,641,475
Canada,19,639,457
Canada,7,596,465
Canada,21,587,440
Canada,29,576,451
Canada,11,574,417
Canada,25,570,416
Canada,20,567,408
Canada,27,540,406
Canada,30,491,395
Canada,28,471,368
Canada,26,447,347
Canada,12,324,255
Canada,13,200,133
Brazil,16,898,560
Brazil,3,871,507
Turkey,10,854,548
France,6,814,554
Brazil,6,798,505
Mexico,16,762,528
Mexico,6,748,504
France,2,731,501
Brazil,2,728,478
Nigeria,18,726,465
Brazil,15,713,463
Brazil,29,706,491
Brazil,8,702,422
France,16,701,456
France,17,697,483
Nigeria,27,696,428
France,1,694,485
Brazil,1,689,482
Brazil,4,688,444
Mexico,1,685,481
Turkey,3,681,442
France,8,678,455
Nigeria,16,668,426
Mexico,2,660,433
Mexico,3,658,466
Mexico,17,656,462
Brazil,17,645,434
Italy,6,644,469
Mexico,7,644,458
Mexico,24,644,437
Brazil,9,643,407
Turkey,11,642,395
France,4,640,420
Nigeria,1,639,383
France,3,633,431
Brazil,5,625,383
France,5,620,416
Brazil,7,610,404
Turkey,6,609,383
France,9,604,413
Brazil,10,598,368
France,7,589,386
Turkey,5,587,358
Italy,1,585,406
Turkey,2,584,403
Nigeria,17,582,372
Nigeria,6,578,348
Turkey,1,576,410
Mexico,15,574,426
Mexico,21,572,374
Mexico,8,571,404
Italy,16,569,387
Brazil,14,552,366
Mexico,9,550,362
Italy,5,549,390
France,15,547,405
Turkey,12,546,364
Nigeria,5,544,324
France,19,540,363
Brazil,19,537,360
Mexico,23,531,371
Brazil,22,530,360
Brazil,30,529,385
France,29,529,369
Italy,3,529,390
Argentina,1,522,321
Nigeria,4,522,323
France,23,520,361
France,18,518,371
Italy,8,518,375
Brazil,11,516,328
France,10,516,364
Italy,17,514,354
France,28,512,354
Italy,10,512,371
Nigeria,25,512,328
Brazil,18,511,370
Mexico,4,511,366
Italy,2,510,379
Mexico,5,509,356
Nigeria,20,505,340
Mexico,22,503,362
Italy,26,502,360
France,14,501,363
Argentina,3,499,337
Brazil,24,497,361
Nigeria,26,495,305
France,25,492,360
France,30,492,360
Brazil,28,488,365
Mexico,28,486,331
Mexico,25,485,358
Brazil,21,483,343
Brazil,23,482,332
France,24,481,370
Italy,7,480,350
Mexico,18,478,355
Nigeria,23,473,310
Brazil,20,463,321
Italy,15,462,326
Italy,18,462,339
Italy,29,460,330
Mexico,26,459,303
France,26,457,303
Mexico,14,457,334
Argentina,16,454,294
Nigeria,2,453,316
Nigeria,15,451,304
Mexico,27,450,307
Italy,20,449,328
Mexico,20,449,314
Nigeria,8,449,289
Nigeria,22,449,304
Italy,4,447,313
France,27,443,315
Turkey,4,443,300
Turkey,14,443,324
Italy,19,440,328
France,20,439,334
France,21,439,313
Italy,24,435,310
Mexico,30,433,302
Nigeria,24,429,299
Chile,17,428,288
Italy,27,428,325
Nigeria,14,426,285
Chile,16,424,284
Colombia,6,424,320
France,22,424,329
Brazil,27,422,315
Turkey,16,422,290
Turkey,25,422,276
Chile,6,421,300
Colombia,1,421,300
Italy,14,421,315
Mexico,29,421,295
Nigeria,29,416,280
Nigeria,21,415,281
Turkey,17,414,252
Nigeria,19,413,295
Brazil,25,409,299
Italy,9,408,300
Nigeria,9,407,255
Nigeria,30,407,275
Argentina,7,404,295
Mexico,10,401,285
South Africa,16,395,255
Italy,28,394,291
France,13,392,247
South Africa,23,392,270
France,11,391,276
Brazil,26,390,278
Italy,11,387,298
Turkey,8,383,246
Argentina,15,382,282
Italy,30,380,280
Argentina,11,378,246
Colombia,2,377,280
South Africa,9,377,257
Mexico,11,376,243
Italy,12,374,275
Italy,21,372,290
Argentina,14,370,273
Turkey,9,369,269
Mexico,19,368,277
Nigeria,7,368,262
Argentina,6,366,269
Brazil,12,366,234
Italy,22,364,285
Mexico,13,364,253
Nigeria,3,364,266
Chile,7,361,265
Turkey,26,361,257
Colombia,15,360,245
France,12,359,233
Germany,6,353,239
South Africa,29,350,217
Italy,25,349,266
Nigeria,28,349,260
Colombia,17,346,260
Pakistan,6,342,215
Argentina,8,341,259
Chile,1,341,243
