country,created_at,total_tweets,total_unique_user_ids,Population,total_tweets_per_pop,unique_user_per_pop
Afghanistan,all,189,81,39074280,0.483694133,0.207297486
Aland Islands,all,1,1,,0,0
Albania,all,109,43,2877239,3.788354044,1.494488292
Algeria,all,280,85,43984569,0.63658689,0.193249592
American Samoa,all,3,3,55169,5.437836466,5.437836466
Andorra,all,197,29,77287,254.894096,37.52248114
Angola,all,57,32,33032075,0.17255955,0.096875537
Antarctica,all,2,1,,0,0
Antigua and Barbuda,all,10,8,98069,10.19690218,8.157521745
Argentina,all,9378,2855,45267449,20.71687318,6.306960218
Armenia,all,40,23,2964219,1.349427961,0.775921077
Aruba,all,18,10,106845,16.8468342,9.359352333
Australia,all,6307,2268,25550683,24.68427165,8.876475044
Austria,all,927,285,9015361,10.28245014,3.161271079
Azerbaijan,all,89,45,10154978,0.876417458,0.443132422
Bahamas,all,47,33,393893,11.93217447,8.377909737
Bahrain,all,255,144,1711057,14.90306869,8.415850553
Bangladesh,all,908,279,164972348,0.55039527,0.169119251
Barbados,all,48,26,287437,16.6993115,9.045460397
Belgium,all,3681,1039,11598451,31.7369966,8.958092766
Belize,all,16,13,398845,4.011583447,3.259411551
Benin,all,120,46,12175480,0.985587427,0.377808514
Bermuda,all,64,25,62237,102.8327201,40.16903128
Bhutan,all,29,8,773069,3.751282227,1.034836476
Bolivia,all,557,160,11700207,4.760599535,1.367497173
"Bonaire, Sint Eustatius and Saba",all,5,4,,0,0
Bosnia and Herzegovina,all,116,43,3277152,3.539658826,1.31211491
Botswana,all,262,105,2359585,11.10364746,4.449935052
Brazil,all,17409,5185,212821986,8.180075906,2.436308437
British Virgin Islands,all,9,3,30266,29.7363378,9.912112602
Brunei,all,40,19,438202,9.128210277,4.335899882
Bulgaria,all,65,29,6939018,0.93673197,0.417926571
Burkina Faso,all,88,32,20997293,0.419101643,0.152400598
Burundi,all,34,15,11948454,0.284555642,0.125539254
Cambodia,all,47,30,16758448,0.280455565,0.17901419
Cameroon,all,434,164,26655083,1.628207273,0.615267264
