language,num_tweets
Amharic,13
Arabic,2434
Armenian,3
Basque,163
Bengali,416
Bulgarian,20
Burmese,1
Catalan,3500
Central Kurdish language,22
Chinese,217
Czech,177
Danish,366
Maldivian,86
Dutch,3878
English,328213
Estonian,706
Finnish,449
French,21301
Georgian,4
German,5689
"Greek,",476
Gujarati,410
Haitian,525
Hebrew,50
Hindi,14439
Hungarian,61
Icelandic,56
Indonesian,4275
Italian,11333
Japanese,2743
Kannada,238
Korean,103
Lao,7
Latvian,91
Lithuanian,133
Malay,1882
Malayalam,160
Marathi,1518
Nepali,365
Norwegian,156
Oriya,220
Punjabi,68
Persian,202
Polish,921
Portuguese,17174
Pashto,19
Romanian,354
Russian,822
Serbian,33
Sindhi,28
Sinhala,234
Slovenian,146
Spanish,85923
Swedish,411
Tagalog,2353
Tamil,980
Telugu,309
Thai,2412
Turkish,10000
Ukrainian,72
Urdu,1307
Vietnamese,47
Welsh,225
Others,36802
