,id,name,teamId,position,minutes,goals_scored,assists,saves,clean_sheets,goals_conceded,penalties_saved,yellow_cards,red_cards,creativity,total_points,points_per_game,value_season,selected_by_percent,now_cost
0,1,Mesut Özil,Arsenal,Midfielder,1439,1,3,0,5,20,0,1,0,582.9,53,2.9,7.6,2.0,70
1,2,Sokratis Papastathopoulos,Arsenal,Defender,1696,2,0,0,4,25,0,6,0,36.8,57,3.0,11.4,0.5,50
2,3,David Luiz Moreira Marinho,Arsenal,Defender,2809,2,1,0,8,42,0,5,2,106.7,94,2.8,17.1,2.6,55
3,4,Pierre-Emerick Aubameyang,Arsenal,Midfielder,3136,22,5,0,10,44,0,3,1,479.6,205,5.7,17.1,42.1,120
4,5,Cédric Soares,Arsenal,Defender,1553,1,1,0,4,20,0,1,0,218.9,61,2.9,12.2,0.6,50
5,6,Alexandre Lacazette,Arsenal,Forward,1867,10,7,0,5,25,0,8,0,337.7,118,3.9,13.9,2.7,85
6,7,Shkodran Mustafi,Arsenal,Defender,1205,0,2,0,4,17,0,2,0,45.5,43,2.9,8.6,0.0,50
7,8,Bernd Leno,Arsenal,Goalkeeper,2649,0,0,113,7,39,1,2,0,0.0,114,3.8,22.8,6.1,50
8,9,Granit Xhaka,Arsenal,Midfielder,2586,1,2,0,10,31,0,10,0,298.5,73,2.4,13.3,0.6,55
9,10,Pablo Marí,Arsenal,Defender,113,0,0,0,1,0,0,0,0,1.7,8,4.0,1.8,0.0,45
10,11,Héctor Bellerín,Arsenal,Defender,1156,1,0,0,4,18,0,2,0,76.9,44,2.9,8.8,3.1,50
11,12,Emiliano Martínez,Arsenal,Goalkeeper,770,0,0,34,3,9,0,2,0,0.0,33,3.7,7.3,7.0,45
12,13,Calum Chambers,Arsenal,Defender,1102,1,1,0,3,15,0,5,0,113.5,42,3.0,9.3,0.0,45
13,14,Sead Kolasinac,Arsenal,Defender,1694,0,2,0,4,26,0,4,0,182.5,55,2.1,11.0,0.3,50
14,15,Ainsley Maitland-Niles,Arsenal,Defender,1382,0,2,0,3,22,0,4,1,182.0,41,2.0,8.2,1.6,50
15,16,Rob Holding,Arsenal,Defender,580,0,0,0,1,9,0,1,0,4.8,16,2.0,3.6,0.7,45
16,17,Kieran Tierney,Arsenal,Defender,986,1,2,0,2,16,0,2,0,121.1,42,2.8,7.6,10.7,55
17,18,Nicolas Pépé,Arsenal,Midfielder,2004,5,6,0,5,30,0,4,0,639.4,106,3.4,13.2,2.4,80
18,19,Lucas Torreira,Arsenal,Midfielder,1501,1,1,0,3,23,0,7,0,207.1,46,1.6,9.2,0.3,50
19,20,Joseph Willock,Arsenal,Midfielder,838,1,1,0,1,16,0,2,0,165.9,41,1.4,8.2,0.2,50
20,21,Reiss Nelson,Arsenal,Midfielder,622,1,1,0,2,7,0,1,0,148.3,30,1.8,5.5,0.1,55
